level_0	objid	redshift	redshift_error	ra_obj	dec_obj	snr_Ha	emline_flag	Par	index	zbest	emline_flag_best	cosmosra	cosmosdec	cosmosid	cosmosz	cosmoshst	cosmoszmed	cosmoszlow	cosmoszup
1393	1779.0	1.38005	0.0004	150.101542	2.417247	13.913043478260873	1.0	Par028	1304	1.38005	1.0	150.10154008892798	2.417233210517886	649899.0	1.3732	24.980096775327695	1.3732	1.3421	1.3883
1394	1801.0	1.87073	0.00109	150.105205	2.417545	4.501845018450184	2.0	Par028	1305	1.87073	2.0	150.10520995658902	2.4175298734319655	650072.0	1.6172	28.1474930536284	1.6172	1.2594	2.0033
1395	1822.0	3.42118	0.00027	150.09626	2.417689	-1.0	1.0	Par028	1306	3.42118	1.0	150.096270322248	2.4176787796870034	649725.0	3.3214	26.343826043479655	3.3214	3.2128	3.4146
1396	1830.0	3.11995	0.00036	150.103399	2.41776	-1.0	1.0	Par028	1307	3.11995	1.0	150.10339866377043	2.4177426696341042	650034.0	3.3639	25.84799841410664	3.3639	3.236	3.4192
1397	1833.0	3.1181	0.0009	150.103963	2.41785	-1.0	2.0	Par028	1308	3.1181	2.0	150.10396642675542	2.4178291309177777	661416.0	1.7355	28.30092411813345	1.7355	0.8703	3.7098
1398	1834.0	1.86494	0.00089	150.07747	2.417817	4.318658280922433	2.0	Par028	1309	1.86494	2.0	150.0774674965718	2.417818446261179	648872.0	1.749	27.589926021123038	1.749	1.4839	2.0014
1399	1854.0	1.25591	0.0	150.075702	2.418056	11.390243902439025	1.0	Par028	1310	1.25591	1.0	150.0757063068035	2.4180526660513575	648820.0	1.2646	26.914368462178707	1.2646	1.1417	1.3973
1400	1924.0	1.83073	0.0	150.082065	2.418723	10.693877551020408	1.0	Par028	1311	1.83073	1.0	150.08206724688262	2.4187267924189757	649236.0	1.9226	25.83950492321387	1.9226	1.7929	2.007
1401	1927.0	1.45603	0.00018	150.093773	2.418809	16.972477064220183	1.0	Par028	1312	1.45603	1.0	150.09377206697022	2.4187987873369377	649754.0	1.4567	26.16008110687512	1.4567	1.2498	1.4885
1402	1929.0	1.87553	0.0001699999999999	150.09457	2.418823	21.001926782273603	1.0	Par028	1313	1.87553	1.0	150.0945666403265	2.4188110334542974	649789.0	1.9419	26.636936660403848	1.9419	1.8985	1.9788
1403	1941.0	0.7408	0.00061	150.087098	2.418702	24.179431072210065	2.0	Par028	1314	0.7408	2.0	150.08709643550725	2.418677259602871	649465.0	0.7371	24.987394273529677	0.7371	0.7219	0.7799
1404	1964.0	2.03763	0.00065	150.084645	2.419157	8.13758389261745	1.0	Par028	1315	2.03763	1.0	150.0846482196583	2.4191522503780725	649400.0	2.1406	26.724928403002878	2.1406	2.0214	2.2859
1405	1982.0	1.26083	0.0001899999999999	150.09131100000002	2.41838	24.03965303593556	1.0	Par028	1316	1.26083	1.0	150.09131450050754	2.4183707996270467	649712.0	1.2432	24.416247997927325	1.2432	1.1609	1.2658
1406	1984.0	1.26145	0.0	150.091038	2.418178	11.849315068493151	1.0	Par028	1317	1.26145	1.0	150.09104303054923	2.4181953297361067	649577.0	1.2461	25.101707924851063	1.2461	1.097	1.8341
1407	1997.0	1.40457	0.0	150.090419	2.419423	9.77124183006536	1.0	Par028	1318	1.40457	1.0	150.09042171406367	2.419417175857042	649682.0	1.394	24.909588774145508	1.394	1.3418	1.4206
1409	2013.0	1.97842	0.00028	150.107475	2.419691	17.617866004962778	1.0	Par028	1319	1.97842	1.0	150.1074785924357	2.419675214278831	650432.0	2.0901	26.73145914596131	2.0901	0.1885	2.3106
1410	2042.0	0.62078	0.00037	150.098869	2.419866	19.29824561403509	4.0	Par028	1320	0.62078	1.5	150.09886617578988	2.4198592833744192	650077.0	0.6281	25.701168656558547	0.6281	0.62	0.6472
1411	2055.0	2.72092	0.0	150.101311	2.4198880000000003	-1.0	1.0	Par028	1321	2.72092	1.0	150.1013146752007	2.4198767106069883	650197.0	2.8095	25.041588299338613	2.8095	2.7557	2.8809
1412	2056.0	1.86308	0.0004	150.091029	2.419789	40.833333333333336	1.0	Par028	1322	1.86308	1.0	150.09103299253783	2.419777782715221	649761.0	1.982	24.400379092549684	1.982	1.9451	2.0059
1413	2086.0	1.2154200000000002	0.0	150.08397	2.420251	10.428571428571429	1.0	Par028	1323	1.2154200000000002	1.0	150.08397657131263	2.4202454890217195	649504.0	0.7393	27.025829628832135	0.7393	0.1681	0.9893
1415	2096.0	1.87206	5e-05	150.091282	2.420238	92.2279792746114	1.0	Par028	1325	1.87206	1.0	150.09128423432463	2.4202249611588895	649813.0	1.9812	25.12604461680031	1.9812	1.9634	1.99
1416	2103.0	1.41554	0.00015	150.10786299999998	2.420271	20.38095238095238	1.0	Par028	1326	1.41554	1.0	150.10786874651927	2.420257596951765	650532.0	1.4185	25.21108901256572	1.4185	1.3874	1.4854
1418	2143.0	1.23987	0.00037	150.080926	2.420564	21.37285491419657	1.0	Par028	1328	1.23987	1.0	150.0809258189206	2.4205578967761836	649405.0	1.1376	25.68089321722239	1.1376	1.1001	1.157
1419	2144.0	2.77017	0.0004599999999999	150.084013	2.42066	-1.0	1.0	Par028	1329	2.77017	1.0	150.08401314092046	2.420648024006503	661246.0	2.9657	27.998615670520852	2.9657	2.7155	3.2882
1420	2145.0	2.1739900000000003	0.00063	150.068819	2.420604	7.783018867924529	1.0	Par028	1330	2.1739900000000003	1.0	150.06881801889872	2.4206048565386635	648826.0	-99.0	26.40167937148236	0.9698	0.1949	1.0803
1421	2147.0	1.94996	0.0	150.073281	2.420553	14.107142857142858	1.0	Par028	1331	1.94996	1.0	150.07328389184002	2.4205503996833535	649044.0	1.6534	25.514178287512202	1.6534	1.6232	1.6663
1422	2169.0	1.5312	0.0003399999999999	150.08799299999998	2.420952	7.481132075471699	1.0	Par028	1332	1.5312	1.0	150.0879985065543	2.420945685962659	649762.0	1.5256	26.600266421792686	1.5256	1.5148	1.5471
1423	2175.0	0.8287	0.00123	150.089039	2.42105	6.784260515603799	4.0	Par028	1333	1.396990221514943	1.5	150.08902840446166	2.421044399361501	649808.0	1.4057	27.45352410463063	1.4057	1.1976	1.6179
1424	2185.0	0.6976899999999999	0.00078	150.103378	2.421166	8.296296296296296	2.0	Par028	1334	0.6976899999999999	2.0	150.1033810736812	2.421154738247859	650437.0	0.593	25.248579781583153	0.593	0.542	0.656
