level_0	objid	redshift	redshift_error	ra_obj	dec_obj	snr_Ha	emline_flag	Par	index	cosmosra	cosmosdec	cosmosid	cosmosz	cosmoshst	cosmoszmed	cosmoszlow	cosmoszup	cosmos2020ra	cosmos2020dec	cosmos2020id	cosmos2020z	cosmos2020hst	cosmos2020zlow	cosmos2020zup
119	1022.0	1.19597	0.00147	150.637913	2.076275	4.836065573770492	4.0	Par005	92	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.63792956276285	2.0762839523630254	684005.0	0.648	26.094406127929688	0.4075	0.8335
120	1036.0	1.84776	0.0	150.654173	2.076449	-1.0	2.0	Par005	93	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65415767406125	2.076444399894198	684058.0	2.1756	27.69224739074707	1.8361	2.5397
121	1042.0	0.77994	0.00144	150.635056	2.076473	4.245901639344262	4.0	Par005	94	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.63501246338933	2.0764792847295404	684590.0	1.1151	26.06191062927246	1.0422	1.2063
123	1077.0	2.02426	0.00055	150.627166	2.076861	-1.0	2.0	Par005	96	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.62715888894837	2.076877945606733	684553.0	1.8941	25.57635498046875	1.7211	2.0807
124	1102.0	2.11586	0.0	150.646262	2.077036	-1.0	1.0	Par005	97	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64626715458294	2.077048780738539	684932.0	2.2063	25.853057861328125	1.5161	2.4482
125	1136.0	0.73911	0.0011	150.649484	2.077285	15.426997245179065	4.0	Par005	98	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64947679435753	2.077289284101071	686999.0	0.7415	23.2938175201416	0.7284	0.7573
126	1151.0	0.64329	0.00067	150.669942	2.077458	10.993788819875776	4.0	Par005	99	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.66992511570763	2.0774537771107933	685563.0	2.0255	24.959869384765625	1.9576	2.1372
127	1201.0	0.80993	0.00117	150.633638	2.077559	7.850393700787401	4.0	Par005	100	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6336440207605	2.077588031431358	688422.0	0.7685	23.165407180786133	0.7543	0.7905
129	1259.0	1.44075	0.0	150.666736	2.078102	0.0	4.0	Par005	102	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.66674062306555	2.078101472369028	686225.0	1.3748	25.117923736572266	1.2842	1.4366
130	1290.0	1.81415	0.0006	150.649001	2.078492	-1.0	2.0	Par005	103	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64900247610925	2.0784837624200323	686517.0	1.9408	25.870874404907227	1.7247	2.1302
131	1316.0	1.24468	0.0	150.653863	2.078699	12.131147540983608	4.0	Par005	104	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6538539627597	2.07870717470229	686771.0	3.2217	25.04012680053711	3.1138	3.3214
132	1379.0	0.85081	0.00032	150.644434	2.079141	25.33333333333333	4.0	Par005	105	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64444692952782	2.079172080719703	689613.0		24.335649490356445	0.7267	0.7794
133	1423.0	1.16662	0.00122	150.646787	2.079588	5.827814569536423	2.0	Par005	106	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64677378492618	2.0796173208971966	688196.0		26.104572296142578	0.0141	0.0873
134	1431.0	2.03049	0.0	150.639329	2.079656	-1.0	1.0	Par005	107	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.63934178871244	2.0796817356285184	687584.0	1.764	27.04302406311035	1.4481	1.9879
135	1441.0	0.85462	0.00117	150.660838	2.079737	7.225	4.0	Par005	108	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.66083422380106	2.079739053349231	687735.0	0.3668	26.263898849487305	0.2293	0.5364
136	1496.0	0.59616	0.00034	150.634237	2.079926	-1.0	4.0	Par005	109	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.63423057537997	2.0799375426141187	691531.0	0.5734	21.93389129638672	0.5582	0.5858
137	1572.0	1.48252	0.00044	150.656874	2.081011	12.203389830508474	1.0	Par005	110	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65687015729048	2.081037833599196	690680.0	0.415	26.132465362548828	0.4028	0.4559
138	1579.0	1.19145	0.0	150.634832	2.08087	6.542857142857143	4.0	Par005	111	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.63483168678752	2.0808713020942142	690943.0	1.1964	23.3751220703125	1.1547	1.2243
139	1586.0	1.34867	0.0	150.630632	2.081048	4.22062350119904	4.0	Par005	112	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.63061977601578	2.0810688396112966	690623.0	0.2417		0.2338	0.2485
140	1641.0	1.07623	0.0	150.636803	2.081638	3.988095238095238	4.0	Par005	113	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.63679332588234	2.081662445895909	690998.0			0.465	1.0694
141	1655.0	0.74236	0.0	150.649971	2.081679	4.630541871921182	4.0	Par005	114	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6499701662114	2.081673595411676	691199.0	0.4073	24.449874877929688	0.3958	0.4159
142	1737.0	1.92184	0.0	150.654783	2.08275	-1.0	2.0	Par005	115	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6547579696284	2.082740892051456	690910.0	1.8742	26.460569381713867	1.6399	2.1862
147	1951.0	0.85082	0.00176	150.657253	2.084716	4.153846153846154	4.0	Par005	119	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6572517983057	2.084700410102836	693051.0	0.9822	26.439592361450195	0.4833	1.4508
